bk_no,bk_name,addr_kenno,addr_sino
48716,サンヒルズ国見５番館,4,4101
43411,ＴＡＭＡＧＯＨＯＵＳＥ,4,4104
45807,ドリーム１２,4,4102
46020,エーデルワイスⅣ,4,4102
912082,×××ロイヤルパレス宮城野,4,4102
45372,ヴィオレリュミエール,4,4103
45425,トレンディハウス志波町,4,4103
48939,ボヌール荒井Ⅰ,4,4103
751,メゾンドールヘンミ,4,4102
571,ラ・フォーレ東照宮,4,4101
900469,×××千成屋ビル,4,4105
93345,東七番町一棟貸しアパート,4,4103
45081,山手ハイツⅡ,4,4101
47625,パークヒルズⅢ,4,4104
900450,×××ステーブル長町７,4,4104
806,柏木エステート,4,4101
13061,旭丘堤１丁目Ｔパーキング,4,4105
350,青山パークヒルズＡ棟,4,4104
11005,台原４丁目Ｍ戸建,4,4101
13070,岩切Ｉ駐車場,4,4102
45040,第２コーポサンライズ,4,4101
994071,×××ホワイトハイツ,4,4102
999998,ビューパレス一本杉,4,4103
47059,ディアス・ONE,4,4105
990044,晩翠ウイングビル,4,4101
44024,ソレイユ多賀城Ⅲ,4,4209
50012,ドルチェ上杉,4,4101
45472,ホワイトキャッスル南小泉12番館,4,4103
44007,ウィルコート２１,4,4211
303,暁荘,4,4101
638,セジュール,4,4104
44238,タウンコート旭,4,4215
144,ピースフル宮千代,4,4102
45443,ヴィルヌーブ岩切B,4,4102
92042,コーポ土樋,4,4103
910287,×××ワイティハウス,4,4101
16026,Ｌａ　Ｄｏｕｃｅｕｒ榴ヶ岡,4,4102
970,アズーリ八幡,4,4101
44419,ファミール自由ヶ丘,4,4102
93200,南光台三丁目貸家,4,4105
42819,三栄ハイツＡ棟,4,4105
40122,ＡＲＴＩＳ仙台木町通,4,4101
42051,シャトウ福沢２号館,4,4101
93138,ライブリー八乙女,4,4105
389,パルメゾン中田,4,4104
40718,ＢＬＵＥ　ＬＥＡＦ,4,4101
817,サンビレッジ国見ケ丘Ｈ棟,4,4101
40206,グランメゾン七福,4,4104
15301,ステラコート台原Ａ棟,4,4101
42857,グランディ桜ヶ丘,4,4101
42879,プルミエール南光台,4,4105
48934,ドエルアルテミス,4,4103
43413,ブリックス清水沼,4,4102
990326,ＥＴＯＮ　ＫＡＷＡＵＣＨＩ,4,4101
11088,落合庄子貸家１１－２７,4,4101
93047,石川マンション,4,4102
519,プルミエⅢ,4,4101
897,安住アパート,4,4102
47099,国見ケ丘５恒川貸家,4,4101
910471,×××ベルドミール,4,4104
42742,Ｓ・Ｋ・Ｙ２,4,4105
40609,コーポアサノ,4,4105
44198,フラワータウン八木山,4,4104
47474,ディアスふるかわ,4,4215
910866,×××フォーブル小松島,4,4101
990335,プレジール江戸町,4,4101
49114,山田上ノ台町木村邸,4,4104
45346,ブッシュ・クローバー,4,4102
47674,セゾンフルール,4,4406
41068,セジュール八乙女,4,4105
849,ＨＯＷ’Ｓ川内Ａ棟,4,4101
394,コーポマインＢ棟,4,4104
92066,ミスターＫ６,4,4101
48058,青山第６,4,4104
999982,Ｐｒｉｅｒ３,4,4103
44242,オッツペアＡ,4,4406
938,サンファンレジデンス,4,4101
48101,ＧｒａｎｄＣｈａｒｉot,4,4216
47245,フレグランス愛子Ａ,4,4101
1026,ベルコート米ケ袋Ⅰ,4,4101
187,プロイセン東黒松,4,4105
42071,チサンマンション花京院,4,4101
93038,鈴木アパート,4,4103
49103,遠見塚２丁目１６－２３貸家,4,4103
44453,（仮）Ｄ－ｒｏｏｍ福室５丁目　Ａ棟,4,4102
44033,ロワールⅠ,4,4209
44451,Ｄ－ｒｏｏｍリベルテ,4,4102
47084,シャーメゾンリジェ,4,4101
15201,ピアッツァ小田原,4,4101
40693,ボヌールメゾン,4,4101
40729,Moon Bridge 3,4,4101
46805,第六ショーケービル,4,4101
94007,ファーストパレス仙台,4,4102
10022,タウンハウス東黒松,4,4105
51039,ラルジュ桜ケ丘,4,4101
47133,マーベラスＴ－Ⅱ,4,4103
40650,セブンヒルズB,4,4421
45813,メゾン　ブリリアント,4,4102
47096,ウイングハイツＡ,4,4101
48902,トゥインクルコート文化町１２番館,4,4103
692,ハイツ松が丘Ｂ,4,4104
912065,×××ロイヤルパレス台原森林公園美咲の森,4,4101
414,クレセントＢ棟,4,4101
94113,プレジデント榴ケ岡,4,4102
50013,リミハウス,4,4103
531,パレス青山,4,4104
93015,マグノリア,4,4105
666,ハイツカタヒラ,4,4105
912050,×××アヴァンツァーレ一番町,4,4101
48906,東光ハイツA,4,4102
92037,ヴュー双葉ケ丘,4,4101
42755,ガーデンヒルズＢ棟,4,4421
43971,Ｍ’ｓⅠ,4,4421
811,パルメゾンＡ棟,4,4102
45521,ルノールⅠ,4,4104
545,ピースフル泉第６,4,4105
746,翔・北根,4,4101
46035,グレイスあおば,4,4101
45607,ＵＳビル,4,4101
900310,×××コーポＫ,4,4101
94104,大和サンハイツ,4,4103
49050,金剛沢３丁目貸家　遠山邸,4,4104
44350,ラウレア,4,4101
93158,上杉NSビル,4,4101
93013,ラ・ルミエール黒松,4,4101
44326,セジュール花渕Ⅱ,4,4102
88,ラ・エンジェ,4,4103
93309,メリス山の寺,4,4105
283,ハイアット北山,4,4101
58,ピースフル青葉第１,4,4101
47411,シャーメゾンさかえ,4,4104
42967,ハイツ秋田屋,4,4103
91058,マンション立町,4,4101
47289,レヂデンスロイヤル,4,4102
